index,SongID,TimeStamp_Central,Performer,Album,Song,TimeStamp_UTC
59336,Supernova Goes PopPowerman 5000,4/11/2017 10:39:00 AM,Powerman 5000,Tonight The Stars Revolt (Explicit Version),Supernova Goes Pop,4/11/2017 3:39:00 PM
59337,One ThingFinger Eleven,4/11/2017 10:34:00 AM,Finger Eleven,Finger Eleven,One Thing,4/11/2017 3:34:00 PM
59338,RabiaNonpoint,4/11/2017 10:30:00 AM,Nonpoint,Recoil,Rabia,4/11/2017 3:30:00 PM
59339,Never AgainNickelback,4/11/2017 10:20:00 AM,Nickelback,Silver Side Up,Never Again,4/11/2017 3:20:00 PM
59340,OneMetallica,4/11/2017 10:14:00 AM,Metallica,...and Justice for All,One,4/11/2017 3:14:00 PM
59341,OneMetallica,4/11/2017 9:55:00 AM,Metallica,...and Justice for All,One,4/11/2017 2:55:00 PM
59342,How Far I'll Go - Alessia Cara VersionAlessia Cara,4/10/2017 7:37:00 PM,Alessia Cara,Moana (Original Motion Picture Soundtrack/Deluxe Edition),How Far I'll Go - Alessia Cara Version,4/11/2017 12:37:00 AM
59343,All Hail the Queen (Ma Belle Reine)Lyrics Born,4/10/2017 2:14:00 PM,Lyrics Born,Real People,All Hail the Queen (Ma Belle Reine),4/10/2017 7:14:00 PM
59344,HoneymoonThe Teskey Brothers,4/10/2017 2:03:00 PM,The Teskey Brothers,Half Mile Harvest,Honeymoon,4/10/2017 7:03:00 PM
59345,Time > Breathe Reprise >Greensky Bluegrass,4/10/2017 1:55:00 PM,Greensky Bluegrass,All Access: Volume One,Time > Breathe Reprise >,4/10/2017 6:55:00 PM
59346,Don't Change for MeNigel Hall,4/10/2017 1:52:00 PM,Nigel Hall,Ladies & Gentlemen... Nigel Hall,Don't Change for Me,4/10/2017 6:52:00 PM
59347,Sometimes On A SundayThe Glorious Sons,4/10/2017 1:48:00 PM,The Glorious Sons,Sometimes On A Sunday,Sometimes On A Sunday,4/10/2017 6:48:00 PM
59348,Ooh GirlWooster,4/10/2017 1:44:00 PM,Wooster,The Heights of Things,Ooh Girl,4/10/2017 6:44:00 PM
59349,Don't Give UpSouthern Avenue,4/10/2017 1:38:00 PM,Southern Avenue,Southern Avenue,Don't Give Up,4/10/2017 6:38:00 PM
59350,All The Pretty GirlsKaleo,4/10/2017 1:33:00 PM,Kaleo,A/B,All The Pretty Girls,4/10/2017 6:33:00 PM
59351,Ain't No SunshineLittle Hurricane,4/10/2017 1:29:00 PM,Little Hurricane,Stay Classy (A Collection of Covers by Little Hurricane),Ain't No Sunshine,4/10/2017 6:29:00 PM
59352,Seven Bridges Road - Live VersionEagles,4/10/2017 1:25:00 PM,Eagles,Eagles Live,Seven Bridges Road - Live Version,4/10/2017 6:25:00 PM
59353,TroubleCage the Elephant,4/10/2017 1:20:00 PM,Cage the Elephant,Tell Me I'm Pretty,Trouble,4/10/2017 6:20:00 PM
59354,Meet Me in the CityJunior Kimbrough,4/10/2017 1:17:00 PM,Junior Kimbrough,First Recordings,Meet Me in the City,4/10/2017 6:17:00 PM
59355,Live WireQuiet Life,4/10/2017 1:13:00 PM,Quiet Life,FOGGY,Live Wire,4/10/2017 6:13:00 PM
59356,Naked As The SunSean Hayes,4/10/2017 12:04:00 PM,Sean Hayes,Low Light,Naked As The Sun,4/10/2017 5:04:00 PM
59357,Lone RiderGreyhounds,4/10/2017 11:54:00 AM,Greyhounds,Accumulator,Lone Rider,4/10/2017 4:54:00 PM
59358,Queso BlancoQuaker City Night Hawks,4/10/2017 11:51:00 AM,Quaker City Night Hawks,Queso Blanco,Queso Blanco,4/10/2017 4:51:00 PM
59359,HurricaneThe Band of Heathens,4/10/2017 11:45:00 AM,The Band of Heathens,Top Hat Crown & The Clapmaster 's Son,Hurricane,4/10/2017 4:45:00 PM
59360,F.U.Pigeons Playing Ping Pong,4/10/2017 11:41:00 AM,Pigeons Playing Ping Pong,Psychology,F.U.,4/10/2017 4:41:00 PM
59361,LiftedWalker Lukens,4/10/2017 11:36:00 AM,Walker Lukens,Lifted - Single,Lifted,4/10/2017 4:36:00 PM
59362,Walking On The MoonThe Infamous Stringdusters,4/10/2017 11:31:00 AM,The Infamous Stringdusters,Silver Sky,Walking On The Moon,4/10/2017 4:31:00 PM
59363,Stomp and HollerHard Working Americans,4/10/2017 11:26:00 AM,Hard Working Americans,Hard Working Americans,Stomp and Holler,4/10/2017 4:26:00 PM
59364,Rabbit OneMasters of Reality,4/10/2017 11:22:00 AM,Masters of Reality,Sunrise On The Sufferbus,Rabbit One,4/10/2017 4:22:00 PM
59365,AnnaleeYonder Mountain String Band,4/10/2017 11:17:00 AM,Yonder Mountain String Band,Black Sheep,Annalee,4/10/2017 4:17:00 PM
59366,Neon MagazineBosley,4/10/2017 11:12:00 AM,Bosley,Honey Pig,Neon Magazine,4/10/2017 4:12:00 PM
59367,HallelujahJonathan Tyler & The Northern Lights,4/10/2017 11:08:00 AM,Jonathan Tyler & The Northern Lights,Holy Smokes,Hallelujah,4/10/2017 4:08:00 PM
59368,TumbiWowDelhi 2 Dublin,4/10/2017 11:03:00 AM,Delhi 2 Dublin,TumbiWow - Single,TumbiWow,4/10/2017 4:03:00 PM
59369,Things Are ChangingThe Relatives,4/10/2017 10:47:00 AM,The Relatives,The Electric Word,Things Are Changing,4/10/2017 3:47:00 PM
59370,If It Hadn't Been For LoveThe SteelDrivers,4/10/2017 10:43:00 AM,The SteelDrivers,The Steeldrivers,If It Hadn't Been For Love,4/10/2017 3:43:00 PM
59371,Making GesturesThe Pack A.D.,4/10/2017 10:39:00 AM,The Pack A.D.,Funeral Mixtape,Making Gestures,4/10/2017 3:39:00 PM
59372,Morning EyesAtlas Road Crew,4/10/2017 10:36:00 AM,Atlas Road Crew,Atlas Road Crew,Morning Eyes,4/10/2017 3:36:00 PM
59373,Talk Dirty (feat. 2 Chainz)Jason Derülo,4/9/2017 9:22:00 AM,Jason Derülo,Talk Dirty,Talk Dirty (feat. 2 Chainz),4/9/2017 2:22:00 PM
59374,What NowRihanna,4/9/2017 9:16:00 AM,Rihanna,Unapologetic (Deluxe),What Now,4/9/2017 2:16:00 PM
59375,Side to SideAriana Grande,4/9/2017 9:12:00 AM,Ariana Grande,Dangerous Woman,Side to Side,4/9/2017 2:12:00 PM
59376,Ain't My FaultZara Larsson,4/9/2017 9:08:00 AM,Zara Larsson,So Good,Ain't My Fault,4/9/2017 2:08:00 PM
59377,TroubleIggy Azalea,4/9/2017 9:05:00 AM,Iggy Azalea,Reclassified,Trouble,4/9/2017 2:05:00 PM
59378,Love Me Like You Do - From Fifty Shades of GreyEllie Goulding,4/9/2017 8:59:00 AM,Ellie Goulding,Delirium (Deluxe),Love Me Like You Do - From Fifty Shades of Grey,4/9/2017 1:59:00 PM
59379,Just Like Fire (From the Original Motion Picture Alice Through The Looking Glass)P!nk,4/9/2017 8:56:00 AM,P!nk,Just Like Fire (From the Original Motion Picture Alice Through The Looking Glass),Just Like Fire (From the Original Motion Picture Alice Through The Looking Glass),4/9/2017 1:56:00 PM
59380,So BlessedMariah Carey,4/9/2017 8:52:00 AM,Mariah Carey,Emotions,So Blessed,4/9/2017 1:52:00 PM
59381,CloseNick Jonas,4/9/2017 8:48:00 AM,Nick Jonas,Last Year Was Complicated,Close,4/9/2017 1:48:00 PM
59382,Pusher Love GirlJustin Timberlake,4/9/2017 8:38:00 AM,Justin Timberlake,The 20/20 Experience,Pusher Love Girl,4/9/2017 1:38:00 PM
59383,Skinny Love - Fareoh RemixBirdy,4/9/2017 8:27:00 AM,Birdy,Skinny Love Remixes,Skinny Love - Fareoh Remix,4/9/2017 1:27:00 PM
59384,One Two StepCiara,4/9/2017 8:24:00 AM,Ciara,Goodies,One Two Step,4/9/2017 1:24:00 PM
59385,VicariousTool,4/8/2017 2:47:00 PM,Tool,,Vicarious,4/8/2017 7:47:00 PM
59386,Hypocritical KissJack White,4/8/2017 2:44:00 PM,Jack White,,Hypocritical Kiss,4/8/2017 7:44:00 PM
59387,No WayKorn,4/8/2017 2:40:00 PM,Korn,,No Way,4/8/2017 7:40:00 PM
59388,Hair of the DogGuns N' Roses,4/8/2017 2:36:00 PM,Guns N' Roses,,Hair of the Dog,4/8/2017 7:36:00 PM
59389,Coming UndoneKorn,4/8/2017 2:33:00 PM,Korn,,Coming Undone,4/8/2017 7:33:00 PM
59390,Nothing Compares 2 USinéad O'Connor,4/8/2017 2:28:00 PM,Sinéad O'Connor,,Nothing Compares 2 U,4/8/2017 7:28:00 PM
59391,In My LifeThe Beatles,4/8/2017 2:25:00 PM,The Beatles,,In My Life,4/8/2017 7:25:00 PM
59392,SilencedMudvayne,4/8/2017 2:22:00 PM,Mudvayne,,Silenced,4/8/2017 7:22:00 PM
59393,Build Me UpHuey Lewis & The News,4/8/2017 2:18:00 PM,Huey Lewis & The News,,Build Me Up,4/8/2017 7:18:00 PM
59394,Ragga Bomb ft. The Ragga TwinsSkrillex,4/8/2017 2:14:00 PM,Skrillex,,Ragga Bomb ft. The Ragga Twins,4/8/2017 7:14:00 PM
59395,Nighthawk postcardsTom Waits,4/8/2017 2:02:00 PM,Tom Waits,,Nighthawk postcards,4/8/2017 7:02:00 PM
59396,Warm Beer and Cold WomenTom Waits,4/8/2017 1:57:00 PM,Tom Waits,,Warm Beer and Cold Women,4/8/2017 6:57:00 PM
59397,IntroTom Waits,4/8/2017 1:56:00 PM,Tom Waits,,Intro,4/8/2017 6:56:00 PM
59398,Paint It BlackThe Rolling Stones,4/8/2017 1:53:00 PM,The Rolling Stones,,Paint It Black,4/8/2017 6:53:00 PM
59399,Ship Of FoolsRobert Plant,4/8/2017 1:48:00 PM,Robert Plant,,Ship Of Fools,4/8/2017 6:48:00 PM
59400,Bottled Up InsideKorn,4/8/2017 1:44:00 PM,Korn,,Bottled Up Inside,4/8/2017 6:44:00 PM
59401,EverydayBuddy Holly & The Crickets,4/8/2017 1:42:00 PM,Buddy Holly & The Crickets,,Everyday,4/8/2017 6:42:00 PM
59402,The Union ForeverThe White Stripes,4/8/2017 1:38:00 PM,The White Stripes,,The Union Forever,4/8/2017 6:38:00 PM
59403,Perfect WorldHuey Lewis & The News,4/8/2017 1:34:00 PM,Huey Lewis & The News,,Perfect World,4/8/2017 6:34:00 PM
59404,The PotTool,4/8/2017 1:28:00 PM,Tool,,The Pot,4/8/2017 6:28:00 PM
59405,Weep Themselves to SleepJack White,4/8/2017 1:24:00 PM,Jack White,,Weep Themselves to Sleep,4/8/2017 6:24:00 PM
59406,Nuthin' but a 'G' ThangDr. Dre,4/8/2017 1:20:00 PM,Dr. Dre,,Nuthin' but a 'G' Thang,4/8/2017 6:20:00 PM
59407,Rocket ManElton John,4/8/2017 1:15:00 PM,Elton John,,Rocket Man,4/8/2017 6:15:00 PM
59408,On a Foggy NightTom Waits,4/8/2017 1:11:00 PM,Tom Waits,,On a Foggy Night,4/8/2017 6:11:00 PM
59409,Hip (Eponymous) Poor BoyJack White,4/8/2017 1:08:00 PM,Jack White,,Hip (Eponymous) Poor Boy,4/8/2017 6:08:00 PM
59410,Tonight Tonight TonightGenesis,4/8/2017 9:04:00 AM,Genesis,Invisible Touch,Tonight Tonight Tonight,4/8/2017 2:04:00 PM
59411,Roll With ItSteve Winwood,4/8/2017 8:58:00 AM,Steve Winwood,Roll With It,Roll With It,4/8/2017 1:58:00 PM
59412,Missed OpportunityHall & Oates,4/8/2017 8:54:00 AM,Hall & Oates,Ooh Yeah!,Missed Opportunity,4/8/2017 1:54:00 PM
59413,High HopesPink Floyd,4/8/2017 8:44:00 AM,Pink Floyd,The Division Bell,High Hopes,4/8/2017 1:44:00 PM
59414,KodachromePaul Simon,4/8/2017 8:38:00 AM,Paul Simon,There Goes Rhymin' Simon,Kodachrome,4/8/2017 1:38:00 PM
59415,When The World Is Running Down You Make The Best Of What's Still Around - Remastered 2003The Police,4/8/2017 8:34:00 AM,The Police,Zenyatta Mondatta (Remastered),When The World Is Running Down You Make The Best Of What's Still Around - Remastered 2003,4/8/2017 1:34:00 PM
59416,Runnin' Down A DreamTom Petty,4/8/2017 8:30:00 AM,Tom Petty,Greatest Hits,Runnin' Down A Dream,4/8/2017 1:30:00 PM
59417,Don't Tread on MeMetallica,4/7/2017 4:42:00 PM,Metallica,Metallica,Don't Tread on Me,4/7/2017 9:42:00 PM
59418,Halo On FireMetallica,4/7/2017 4:34:00 PM,Metallica,Hardwired…To Self-Destruct (Deluxe),Halo On Fire,4/7/2017 9:34:00 PM
59419,Too Late Too LateMetallica,4/7/2017 4:30:00 PM,Metallica,Garage Inc.,Too Late Too Late,4/7/2017 9:30:00 PM
59420,The God That FailedMetallica,4/7/2017 4:24:00 PM,Metallica,Metallica,The God That Failed,4/7/2017 9:24:00 PM
59421,Poor Twisted MeMetallica,4/7/2017 4:20:00 PM,Metallica,Load,Poor Twisted Me,4/7/2017 9:20:00 PM
59422,BreadfanMetallica,4/7/2017 4:14:00 PM,Metallica,Garage Inc.,Breadfan,4/7/2017 9:14:00 PM
59423,The UnforgivenMetallica,4/7/2017 4:04:00 PM,Metallica,Metallica,The Unforgiven,4/7/2017 9:04:00 PM
59424,Bad SeedMetallica,4/7/2017 3:59:00 PM,Metallica,Reload,Bad Seed,4/7/2017 8:59:00 PM
59425,Free Speech for the DumbMetallica,4/7/2017 3:52:00 PM,Metallica,Garage Inc.,Free Speech for the Dumb,4/7/2017 8:52:00 PM
59426,Turn the PageMetallica,4/7/2017 3:46:00 PM,Metallica,Garage Inc.,Turn the Page,4/7/2017 8:46:00 PM
59427,The Outlaw TornMetallica,4/7/2017 3:34:00 PM,Metallica,Load,The Outlaw Torn,4/7/2017 8:34:00 PM
59428,All Nightmare LongMetallica,4/7/2017 3:26:00 PM,Metallica,Death Magnetic,All Nightmare Long,4/7/2017 8:26:00 PM
59429,Welcome Home (Sanitarium)Metallica,4/7/2017 3:18:00 PM,Metallica,Master of Puppets,Welcome Home (Sanitarium),4/7/2017 8:18:00 PM
59430,Here Comes RevengeMetallica,4/7/2017 3:11:00 PM,Metallica,Hardwired…To Self-Destruct (Deluxe),Here Comes Revenge,4/7/2017 8:11:00 PM
59431,Sad but TrueMetallica,4/7/2017 3:04:00 PM,Metallica,Metallica,Sad but True,4/7/2017 8:04:00 PM
59432,Tuesday's GoneMetallica,4/7/2017 2:53:00 PM,Metallica,Garage Inc.,Tuesday's Gone,4/7/2017 7:53:00 PM
59433,Trapped Under IceMetallica,4/7/2017 2:49:00 PM,Metallica,Ride the Lightning (Deluxe Remaster),Trapped Under Ice,4/7/2017 7:49:00 PM
59434,SlitherMetallica,4/7/2017 2:44:00 PM,Metallica,Reload,Slither,4/7/2017 7:44:00 PM
59435,Until It SleepsMetallica,4/7/2017 2:39:00 PM,Metallica,Load,Until It Sleeps,4/7/2017 7:39:00 PM
59436,Creeping DeathMetallica,4/7/2017 2:31:00 PM,Metallica,Ride the Lightning (Deluxe Remaster),Creeping Death,4/7/2017 7:31:00 PM
59437,Hero of the DayMetallica,4/7/2017 2:27:00 PM,Metallica,Load,Hero of the Day,4/7/2017 7:27:00 PM
59438,Thorn WithinMetallica,4/7/2017 2:21:00 PM,Metallica,Load,Thorn Within,4/7/2017 7:21:00 PM
59439,Where the Wild Things AreMetallica,4/7/2017 2:12:00 PM,Metallica,Reload,Where the Wild Things Are,4/7/2017 7:12:00 PM
59440,Last Caress/Green HellMetallica,4/7/2017 2:09:00 PM,Metallica,Garage Inc.,Last Caress/Green Hell,4/7/2017 7:09:00 PM
59441,Phantom LordMetallica,4/7/2017 2:01:00 PM,Metallica,Kill 'em All (Remastered),Phantom Lord,4/7/2017 7:01:00 PM
59442,The Four HorsemenMetallica,4/7/2017 1:52:00 PM,Metallica,Kill 'em All (Remastered),The Four Horsemen,4/7/2017 6:52:00 PM
59443,Whiplash (Remastered)Metallica,4/7/2017 1:48:00 PM,Metallica,Kill 'em All (Remastered),Whiplash (Remastered),4/7/2017 6:48:00 PM
59444,Holier Than ThouMetallica,4/7/2017 1:44:00 PM,Metallica,Metallica,Holier Than Thou,4/7/2017 6:44:00 PM
59445,Damage Inc.Metallica,4/7/2017 1:39:00 PM,Metallica,Master of Puppets,Damage Inc.,4/7/2017 6:39:00 PM
59446,Fade to BlackMetallica,4/7/2017 1:30:00 PM,Metallica,Ride the Lightning (Deluxe Remaster),Fade to Black,4/7/2017 6:30:00 PM
59447,VibrateRufus Wainwright,4/6/2017 9:21:00 PM,Rufus Wainwright,Want One,Vibrate,4/7/2017 2:21:00 AM
59448,GirlsAbir,4/6/2017 9:17:00 PM,Abir,Girls,Girls,4/7/2017 2:17:00 AM
59449,Blood In The CutK.Flay,4/6/2017 9:14:00 PM,K.Flay,Crush Me,Blood In The Cut,4/7/2017 2:14:00 AM
59450,Your Love Will Blow Me Away When My Heart AchesSon Little,4/6/2017 9:11:00 PM,Son Little,Things I Forgot,Your Love Will Blow Me Away When My Heart Aches,4/7/2017 2:11:00 AM
59451,Follow You DownBlack River Delta,4/6/2017 9:06:00 PM,Black River Delta,Devil On The Loose,Follow You Down,4/7/2017 2:06:00 AM
59452,I Just Want YouCaleb Hawley,4/6/2017 9:02:00 PM,Caleb Hawley,Side 1,I Just Want You,4/7/2017 2:02:00 AM
59453,Clint EastwoodTrey Anastasio,4/6/2017 8:58:00 PM,Trey Anastasio,Traveler,Clint Eastwood,4/7/2017 1:58:00 AM
59454,The WizardBrownout,4/6/2017 8:35:00 PM,Brownout,Brownout Presents Brown Sabbath,The Wizard,4/7/2017 1:35:00 AM
59455,Really Like YouSara Lugo,4/6/2017 8:29:00 PM,Sara Lugo,Hit Me With Music,Really Like You,4/7/2017 1:29:00 AM
59456,Don't Take My Man to IdahoJessica Hernandez and the Deltas,4/6/2017 8:27:00 PM,Jessica Hernandez and the Deltas,Deceptacon / Don't Take My Man to Idaho - Single,Don't Take My Man to Idaho,4/7/2017 1:27:00 AM
59457,Suffering (Jacob Hemphill (SOJA) Remix)Rebelution,4/6/2017 8:23:00 PM,Rebelution,Remix EP,Suffering (Jacob Hemphill (SOJA) Remix),4/7/2017 1:23:00 AM
59458,In The Belly Of A WhaleToadies,4/6/2017 8:19:00 PM,Toadies,Heretics,In The Belly Of A Whale,4/7/2017 1:19:00 AM
59459,Let's Be StillThe Head and the Heart,4/6/2017 8:13:00 PM,The Head and the Heart,Let's Be Still,Let's Be Still,4/7/2017 1:13:00 AM
59460,Eyes ShutYears & Years,4/6/2017 8:10:00 PM,Years & Years,Eyes Shut,Eyes Shut,4/7/2017 1:10:00 AM
59461,Getting Ready To Get DownJosh Ritter,4/6/2017 8:06:00 PM,Josh Ritter,Getting Ready to Get Down,Getting Ready To Get Down,4/7/2017 1:06:00 AM
59462,Tennessee WhiskeyChris Stapleton,4/6/2017 8:01:00 PM,Chris Stapleton,Traveller,Tennessee Whiskey,4/7/2017 1:01:00 AM
59463,Love Gone WrongYou+Me,4/6/2017 7:55:00 PM,You+Me,rose ave.,Love Gone Wrong,4/7/2017 12:55:00 AM
59464,Hummed LowOdessa,4/6/2017 7:52:00 PM,Odessa,Odessa,Hummed Low,4/7/2017 12:52:00 AM
59465,Ain't My FaultZara Larsson,4/6/2017 7:48:00 PM,Zara Larsson,Ain't My Fault,Ain't My Fault,4/7/2017 12:48:00 AM
59466,IssuesJulia Michaels,4/6/2017 7:45:00 PM,Julia Michaels,Issues,Issues,4/7/2017 12:45:00 AM
59467,Love Is Stronger Than Justice (The Munificent Seven)Sting,4/6/2017 4:32:00 PM,Sting,Ten Summoner's Tales,Love Is Stronger Than Justice (The Munificent Seven),4/6/2017 9:32:00 PM
59468,If I Ever Lose My Faith in YouSting,4/6/2017 4:28:00 PM,Sting,Ten Summoner's Tales,If I Ever Lose My Faith in You,4/6/2017 9:28:00 PM
59469,Fortress Around Your HeartSting,4/6/2017 4:22:00 PM,Sting,The Dream Of The Blue Turtles,Fortress Around Your Heart,4/6/2017 9:22:00 PM
59470,Moon Over Bourbon StreetSting,4/6/2017 4:17:00 PM,Sting,The Dream Of The Blue Turtles,Moon Over Bourbon Street,4/6/2017 9:17:00 PM
59471,The Dream Of The Blue TurtlesSting,4/6/2017 4:15:00 PM,Sting,The Dream Of The Blue Turtles,The Dream Of The Blue Turtles,4/6/2017 9:15:00 PM
59472,Consider Me GoneSting,4/6/2017 4:11:00 PM,Sting,The Dream Of The Blue Turtles,Consider Me Gone,4/6/2017 9:11:00 PM
59473,We Work The Black SeamSting,4/6/2017 4:05:00 PM,Sting,The Dream Of The Blue Turtles,We Work The Black Seam,4/6/2017 9:05:00 PM
59474,Shadows In The RainSting,4/6/2017 3:59:00 PM,Sting,The Dream Of The Blue Turtles,Shadows In The Rain,4/6/2017 8:59:00 PM
59475,Children's CrusadeSting,4/6/2017 3:38:00 PM,Sting,The Dream Of The Blue Turtles,Children's Crusade,4/6/2017 8:38:00 PM
59476,RussiansSting,4/6/2017 3:34:00 PM,Sting,The Dream Of The Blue Turtles,Russians,4/6/2017 8:34:00 PM
59477,Love Is The Seventh WaveSting,4/6/2017 3:30:00 PM,Sting,The Dream Of The Blue Turtles,Love Is The Seventh Wave,4/6/2017 8:30:00 PM
59478,If You Love Somebody Set Them FreeSting,4/6/2017 3:25:00 PM,Sting,The Dream Of The Blue Turtles,If You Love Somebody Set Them Free,4/6/2017 8:25:00 PM
59479,That Day Will ComeCapleton,4/6/2017 1:54:00 PM,Capleton,Reign Of Fire,That Day Will Come,4/6/2017 6:54:00 PM
59480,Wanted Dread and Alive - 2002 Remastered VersionPeter Tosh,4/6/2017 1:50:00 PM,Peter Tosh,Wanted Dread And Alive,Wanted Dread and Alive - 2002 Remastered Version,4/6/2017 6:50:00 PM
59481,She's RoyalTarrus Riley,4/6/2017 1:46:00 PM,Tarrus Riley,Parables,She's Royal,4/6/2017 6:46:00 PM
59482,Dreadlock Holiday10cc,4/6/2017 1:40:00 PM,10cc,70's Pop,Dreadlock Holiday,4/6/2017 6:40:00 PM
59483,JammingBob Marley & The Wailers,4/6/2017 1:36:00 PM,Bob Marley & The Wailers,Exodus 30th Anniversary Edition,Jamming,4/6/2017 6:36:00 PM
59484,No LoveLyves,4/6/2017 1:31:00 PM,Lyves,Like Water,No Love,4/6/2017 6:31:00 PM
59485,BlessedFKJ,4/6/2017 1:26:00 PM,FKJ,French Kiwi Juice,Blessed,4/6/2017 6:26:00 PM
59486,FocusFORTUNES.,4/6/2017 1:21:00 PM,FORTUNES.,Focus,Focus,4/6/2017 6:21:00 PM
59487,In Our Time (feat. Vanessa Carlton)Deer Tick,4/6/2017 1:17:00 PM,Deer Tick,Negativity,In Our Time (feat. Vanessa Carlton),4/6/2017 6:17:00 PM
59488,All The TimeBahamas,4/6/2017 1:12:00 PM,Bahamas,Bahamas is Afie,All The Time,4/6/2017 6:12:00 PM
59489,Darlin'Houndmouth,4/6/2017 1:08:00 PM,Houndmouth,Little Neon Limelight,Darlin',4/6/2017 6:08:00 PM
59490,Love's On FireNikki Lane,4/6/2017 1:04:00 PM,Nikki Lane,All or Nothin' (Deluxe Edition),Love's On Fire,4/6/2017 6:04:00 PM
59491,Sing Along - DemoRobert Ellis,4/6/2017 1:00:00 PM,Robert Ellis,The Lights From The Chemical Plant (Deluxe Edition),Sing Along - Demo,4/6/2017 6:00:00 PM
59492,Look Like A BirdAmanda Shires,4/6/2017 12:57:00 PM,Amanda Shires,Down Fell The Doves,Look Like A Bird,4/6/2017 5:57:00 PM
59493,Guys My AgeHey Violet,4/6/2017 12:46:00 PM,Hey Violet,Guys My Age,Guys My Age,4/6/2017 5:46:00 PM
59494,Guys My Age - StrippedHey Violet,4/6/2017 12:41:00 PM,Hey Violet,Guys My Age (Stripped),Guys My Age - Stripped,4/6/2017 5:41:00 PM
59495,Shape of YouEd Sheeran,4/6/2017 12:13:00 PM,Ed Sheeran,,Shape of You,4/6/2017 5:13:00 PM
59496,Shape of YouEd Sheeran,4/6/2017 12:12:00 PM,Ed Sheeran,,Shape of You,4/6/2017 5:12:00 PM
59497,DownMarian Hill,4/6/2017 12:08:00 PM,Marian Hill,,Down,4/6/2017 5:08:00 PM
59498,It Ain't MeKygo,4/6/2017 12:04:00 PM,Kygo,,It Ain't Me,4/6/2017 5:04:00 PM
59499,ParisThe Chainsmokers,4/6/2017 12:00:00 PM,The Chainsmokers,,Paris,4/6/2017 5:00:00 PM
59500,RockabyeClean Bandit,4/6/2017 11:56:00 AM,Clean Bandit,,Rockabye,4/6/2017 4:56:00 PM
59501,That's What I LikeBruno Mars,4/6/2017 11:51:00 AM,Bruno Mars,,That's What I Like,4/6/2017 4:51:00 PM
59502,IssuesJulia Michaels,4/6/2017 11:48:00 AM,Julia Michaels,,Issues,4/6/2017 4:48:00 PM
59503,IssuesJulia Michaels,4/6/2017 11:47:00 AM,Julia Michaels,,Issues,4/6/2017 4:47:00 PM
59504,StayZedd,4/6/2017 11:43:00 AM,Zedd,,Stay,4/6/2017 4:43:00 PM
59505,StayZedd,4/6/2017 11:43:00 AM,Zedd,,Stay,4/6/2017 4:43:00 PM
59506,I Don't Wanna Live Forever (Fifty Shades Darker)Taylor Swift,4/6/2017 11:39:00 AM,Taylor Swift,,I Don't Wanna Live Forever (Fifty Shades Darker),4/6/2017 4:39:00 PM
59507,CloserThe Chainsmokers,4/6/2017 11:33:00 AM,The Chainsmokers,,Closer,4/6/2017 4:33:00 PM
59508,No PromisesCheat Codes,4/6/2017 11:30:00 AM,Cheat Codes,,No Promises,4/6/2017 4:30:00 PM
59509,Say You Won't Let GoJames Arthur,4/6/2017 11:22:00 AM,James Arthur,,Say You Won't Let Go,4/6/2017 4:22:00 PM
59510,Chained to the RhythmKaty Perry,4/6/2017 11:17:00 AM,Katy Perry,,Chained to the Rhythm,4/6/2017 4:17:00 PM
59511,ColdMaroon 5,4/6/2017 11:13:00 AM,Maroon 5,,Cold,4/6/2017 4:13:00 PM
59512,ColdMaroon 5,4/6/2017 11:13:00 AM,Maroon 5,,Cold,4/6/2017 4:13:00 PM
59513,Scars to Your BeautifulAlessia Cara,4/6/2017 11:09:00 AM,Alessia Cara,,Scars to Your Beautiful,4/6/2017 4:09:00 PM
59514,Just Hold OnLouis Tomlinson,4/6/2017 11:05:00 AM,Louis Tomlinson,,Just Hold On,4/6/2017 4:05:00 PM
59515,Just Hold OnLouis Tomlinson,4/6/2017 11:05:00 AM,Louis Tomlinson,,Just Hold On,4/6/2017 4:05:00 PM
59516,MercyShawn Mendes,4/6/2017 11:00:00 AM,Shawn Mendes,,Mercy,4/6/2017 4:00:00 PM
59517,Don't Wanna KnowMaroon 5,4/6/2017 10:57:00 AM,Maroon 5,,Don't Wanna Know,4/6/2017 3:57:00 PM
59518,Don't Let Me DownThe Chainsmokers,4/6/2017 10:53:00 AM,The Chainsmokers,,Don't Let Me Down,4/6/2017 3:53:00 PM
59519,Don't Let Me DownThe Chainsmokers,4/6/2017 10:53:00 AM,The Chainsmokers,,Don't Let Me Down,4/6/2017 3:53:00 PM
59520,Heathenstwenty one pilots,4/6/2017 10:49:00 AM,twenty one pilots,,Heathens,4/6/2017 3:49:00 PM
59521,Can't Stop The Feeling! [Original Song From DreamWorks Animation's Trolls]Justin Timberlake,4/6/2017 10:44:00 AM,Justin Timberlake,,Can't Stop The Feeling! [Original Song From DreamWorks Animation's Trolls],4/6/2017 3:44:00 PM
59522,Can't Stop The Feeling! [Original Song From DreamWorks Animation's Trolls]Justin Timberlake,4/6/2017 10:44:00 AM,Justin Timberlake,,Can't Stop The Feeling! [Original Song From DreamWorks Animation's Trolls],4/6/2017 3:44:00 PM
59523,Play That SongTrain,4/6/2017 10:40:00 AM,Train,,Play That Song,4/6/2017 3:40:00 PM
59524,Water Under the BridgeAdele,4/6/2017 10:36:00 AM,Adele,,Water Under the Bridge,4/6/2017 3:36:00 PM
